source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,Fibroblast,COL1A2,CD44,1.9169096,0.0,2.1730921,0.005756096714657264,0.20959789158832365,0.12538743,0.9729523,0.0021329766292235803,0.2222222346398567
Fibroblast,MCF10A,COL1A2,CD44,1.8845277,0.985,1.9695888,-0.015136863742083973,-0.02923902956808133,0.11364528,0.97162795,0.664752486555965,0.23462060471859725
Fibroblast,MCF7,COL1A2,CD44,1.866826,0.992,1.8583425,-0.026558390430966694,-0.09586257253454655,0.10722637,0.97081554,1.0,0.24730308494329123
Fibroblast,MCF10A,COL5A2,ITGA2_ITGB1,0.44369674,0.537,0.19681755,-0.00015561977416735247,0.05825281397344839,0.1283125,0.9154381,0.08773628394274369,0.2569967442629648
MCF7,Fibroblast,COL1A2,CD44,1.838513,0.999,2.0646584,-0.030184594753082005,0.08475469197538965,0.1191308,0.97227055,1.0,0.2602654348641913
Fibroblast,Fibroblast,LGALS1,ITGB1,1.8348414,0.0,2.0345438,0.006860361998135387,0.2515549306725715,0.12902959,0.9720718,0.0001929012345679012,0.2735034140315504
MCF10A,Fibroblast,COL1A2,CD44,1.8193574,1.0,2.0381632,-0.03896506262183258,0.04174516815936302,0.117602035,0.9720959,1.0,0.2870127819956211
MCF10A,Fibroblast,LAMC1,ITGA2_ITGB1,0.44423026,0.724,0.19715665,-0.0034682588893529412,0.023791598628983612,0.120644815,0.91550475,0.18470217450695608,0.29834786390932866
MCF7,MCF10A,COL1A2,CD44,1.8061311,1.0,1.8713094,-0.05107755520982324,-0.15408222918101533,0.10797456,0.9709139,1.0,0.30078929830665635
MCF10A,Fibroblast,COL1A1,ITGA2_ITGB1,2.1407056,0.265,1.7504152,0.003813315646026026,0.06274429265258852,0.118914336,0.96995586,0.0438243076591516,0.30078929830665635
Fibroblast,Fibroblast,COL1A1,ITGA2_ITGB1,2.1345115,0.251,1.7447438,0.000753883467727573,0.1157068267395307,0.11852905,0.96990854,0.05235229014259888,0.3148287225149089
Fibroblast,MCF10A,LGALS1,ITGB1,1.7984459,0.993,1.816972,-0.016791456569551624,0.0245772049724724,0.11523131,0.97049487,0.8813632953963011,0.3291268141706316
Fibroblast,Fibroblast,COL5A2,ITGA2_ITGB1,0.4472344,0.0,0.19990717,0.0025686004680628397,0.1861694763204571,0.13032673,0.91603905,0.007896109165862182,0.3392812834392215
MCF7,Fibroblast,COL1A1,ITGA2_ITGB1,2.1277814,0.612,1.738582,-0.002569816934193569,0.01768611794584074,0.118110456,0.96985686,0.12426060951005623,0.3436793328240771
MCF7,MCF7,COL1A2,CD44,1.7884295,1.0,1.7656142,-0.06249908189870596,-0.22070577214748055,0.101875946,0.97008157,1.0,0.35848203802549833
MCF10A,MCF10A,COL1A2,CD44,1.7869755,1.0,1.8472956,-0.059858023078573824,-0.19709175299704196,0.10658896,0.97073096,1.0,0.37353068932514805
