source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MCF7,MCF7,MMP1,ITGA2,0.40472907,1.0,0.16337708,-0.027090244147315833,-0.1497538894997268,0.11354422,0.90352136,1.0,0.19993191791815887
Fibroblast,Fibroblast,COL1A2,CD44,1.7453021,0.0,1.8877612,0.005531267084263517,0.21352624066953219,0.12190518,0.96954334,0.01120142066798716,0.20362978310769975
MCF10A,Fibroblast,COL1A2,CD44,1.7352028,0.498,1.8742474,0.000911052734727527,0.12368993351455915,0.1210325,0.9694371,0.025594776309762098,0.2147017106708957
Fibroblast,MCF7,LGALS1,ITGB1,1.7215933,1.0,1.776205,-0.01719262211043189,0.11011147821800926,0.11719918,0.968631,1.0,0.22602386311405281
Fibroblast,MCF7,COL1A2,CD44,1.717601,0.991,1.7314408,-0.012978741589398457,-0.010737384612158563,0.11181053,0.9682409,1.0,0.23759278528736016
MCF7,Fibroblast,LAMC1,ITGA2_ITGB1,0.40785372,0.872,0.16615795,-0.0052921635788552015,0.016213282673312568,0.12252805,0.90425444,0.20319389001001575,0.23882118765418126
MCF10A,MCF7,COL1A2,CD44,1.7075016,0.743,1.719046,-0.017598955938934447,-0.1005736917671316,0.11101012,0.9681303,0.8644389044464172,0.24940513299246617
Fibroblast,MCF10A,COL1A2,CD44,1.7031727,0.852,1.6500202,-0.022619321923056934,-0.024981661355221396,0.10655267,0.9674919,1.0,0.2614575652230692
MCF7,Fibroblast,LGALS1,ITGB1,1.6979996,1.0,1.8899304,-0.02109882622540135,-0.08922326059320906,0.124703124,0.9695603,1.0,0.2737466220412821
MCF10A,Fibroblast,MMP1,ITGA2,0.41058174,0.88,0.16845776,-0.021778404902145082,-0.003179298291919208,0.117075205,0.90484786,0.5184,0.27734869941062584
MCF10A,MCF10A,COL1A2,CD44,1.6930733,0.793,1.6382083,-0.027239536272592922,-0.11481796851019443,0.10578989,0.9673788,1.0,0.28626896165941645
Fibroblast,MCF10A,LGALS1,ITGB1,1.6742216,0.995,1.5098436,-0.04827595859178739,-0.17155948818217537,0.09962389,0.9660665,1.0,0.29902124534883223
MCF7,Fibroblast,COL1A2,CD44,1.6691421,1.0,1.7858516,-0.029351319601097686,0.005664956349675787,0.11532419,0.9687132,1.0,0.3120000085830689
Fibroblast,MCF7,COL5A2,ITGA2_ITGB1,0.4133928,0.986,0.17003132,-0.010742560179301456,0.049974742514700576,0.12012534,0.90524733,0.5780478058192746,0.3155161436451144
MCF7,MCF7,LGALS1,ITGB1,1.6632084,1.0,1.7024313,-0.04392728876704133,-0.07746994678669661,0.11233138,0.9679801,1.0,0.32520191188535014
MCF10A,Fibroblast,COL1A1,ITGA2_ITGB1,1.8761561,0.212,1.4039899,0.01601706126533051,0.16094694644713714,0.12884948,0.9648546,0.006662530276385387,0.3386235743487447
MCF10A,Fibroblast,LGALS1,ITGB1,1.6494938,0.995,1.8218894,-0.04331192438244065,-0.128702116557881,0.12021359,0.9690146,1.0,0.3386235743487447
MCF7,MCF7,COL1A2,CD44,1.641441,1.0,1.63797,-0.04786132827475966,-0.21859866893201496,0.1057745,0.9673765,1.0,0.3522616601263242
MCF10A,Fibroblast,LAMC1,ITGA2_ITGB1,0.4146274,0.477,0.1718684,0.00029925804517220295,0.10399395878547901,0.12673905,0.9057073,0.020535378342868612,0.353325210815269
MCF7,MCF10A,COL1A2,CD44,1.6270127,0.999,1.5609448,-0.05750190860841814,-0.2328429456750778,0.10080048,0.9666078,1.0,0.3661126988838706
Fibroblast,Fibroblast,COL1A1,ITGA2_ITGB1,1.8519229,0.0,1.3835604,0.00475769015358271,0.19383309014094285,0.12697458,0.9646053,0.0010495457960521819,0.3661126988838706
MCF10A,MCF7,COL5A2,ITGA2_ITGB1,0.41886896,0.625,0.1742373,-0.006341669270305682,-0.05245041726540278,0.123096816,0.90629023,0.4442057253602897,0.39077762192763127
MCF7,MCF10A,LGALS1,ITGB1,1.6158367,1.0,1.4471332,-0.07501062524839683,-0.35914091318688124,0.09548607,0.9653642,1.0,0.39444029188465146
MCF7,MCF10A,COL6A1,CD44,0.7189444,0.981,0.49888396,-0.040098340362300894,-0.2104617963770694,0.1054167,0.9424123,1.0,0.3958286800026267
