Barcode,CellType
s_008um_00502_00628-1,
s_008um_00720_00128-1,Fibroblast
s_008um_00162_00314-1,
s_008um_00405_00028-1,
s_008um_00792_00287-1,
s_008um_00817_00151-1,Fibroblast
s_008um_00627_00245-1,
s_008um_00172_00255-1,
s_008um_00278_00271-1,Fibroblast
s_008um_00627_00723-1,Fibroblast
s_008um_00421_00645-1,
s_008um_00337_00057-1,
s_008um_00786_00506-1,
s_008um_00339_00578-1,Fibroblast
s_008um_00369_00017-1,
s_008um_00327_00329-1,
s_008um_00347_00516-1,
s_008um_00814_00500-1,
s_008um_00712_00733-1,MCF7
s_008um_00303_00154-1,Fibroblast
s_008um_00144_00083-1,
s_008um_00321_00575-1,Fibroblast
s_008um_00818_00544-1,Fibroblast
s_008um_00119_00606-1,
s_008um_00159_00439-1,
s_008um_00509_00241-1,
s_008um_00758_00658-1,Fibroblast
s_008um_00440_00665-1,
s_008um_00265_00143-1,MCF10A
s_008um_00243_00349-1,
s_008um_00772_00774-1,
s_008um_00741_00507-1,
s_008um_00240_00708-1,Fibroblast
s_008um_00682_00677-1,Fibroblast
s_008um_00743_00082-1,Fibroblast
s_008um_00310_00493-1,
s_008um_00154_00593-1,
s_008um_00317_00664-1,Fibroblast
s_008um_00656_00279-1,
s_008um_00419_00566-1,
s_008um_00343_00166-1,Fibroblast
s_008um_00681_00315-1,
s_008um_00501_00240-1,
s_008um_00388_00322-1,
s_008um_00535_00050-1,
s_008um_00627_00687-1,Fibroblast
s_008um_00418_00296-1,
s_008um_00247_00255-1,Fibroblast
s_008um_00362_00081-1,Fibroblast
s_008um_00343_00147-1,Fibroblast
s_008um_00798_00604-1,Fibroblast
s_008um_00143_00087-1,
s_008um_00259_00607-1,Fibroblast
s_008um_00640_00141-1,
s_008um_00485_00076-1,
s_008um_00285_00770-1,
s_008um_00661_00697-1,Fibroblast
s_008um_00277_00467-1,
s_008um_00107_00048-1,
s_008um_00595_00643-1,
s_008um_00737_00490-1,
s_008um_00726_00022-1,
s_008um_00819_00152-1,Fibroblast
s_008um_00347_00234-1,Fibroblast
s_008um_00354_00265-1,Fibroblast
s_008um_00481_00035-1,
s_008um_00401_00310-1,
s_008um_00143_00162-1,
s_008um_00415_00717-1,
s_008um_00766_00764-1,
s_008um_00238_00186-1,
s_008um_00407_00031-1,
s_008um_00375_00743-1,Fibroblast
s_008um_00634_00201-1,
s_008um_00350_00627-1,Fibroblast
s_008um_00340_00312-1,
s_008um_00449_00181-1,
s_008um_00602_00260-1,
s_008um_00374_00606-1,Fibroblast
s_008um_00795_00714-1,Fibroblast
s_008um_00323_00556-1,Fibroblast
s_008um_00417_00642-1,
s_008um_00327_00565-1,Fibroblast
s_008um_00730_00198-1,Fibroblast
s_008um_00712_00341-1,
s_008um_00725_00612-1,MCF7
s_008um_00227_00746-1,Fibroblast
s_008um_00264_00641-1,Fibroblast
s_008um_00155_00055-1,
s_008um_00133_00287-1,
s_008um_00287_00253-1,MCF10A
s_008um_00246_00703-1,Fibroblast
s_008um_00325_00739-1,Fibroblast
s_008um_00621_00564-1,
s_008um_00260_00487-1,
s_008um_00372_00402-1,
s_008um_00251_00785-1,
s_008um_00494_00533-1,
s_008um_00312_00573-1,Fibroblast
s_008um_00706_00143-1,Fibroblast
s_008um_00504_00732-1,
s_008um_00233_00671-1,Fibroblast
s_008um_00341_00502-1,
s_008um_00333_00031-1,
s_008um_00109_00654-1,
s_008um_00155_00208-1,
s_008um_00410_00658-1,Fibroblast
s_008um_00803_00088-1,Fibroblast
s_008um_00120_00058-1,
s_008um_00812_00063-1,
s_008um_00305_00752-1,Fibroblast
s_008um_00174_00591-1,
s_008um_00307_00101-1,Fibroblast
s_008um_00455_00109-1,
s_008um_00382_00242-1,Fibroblast
s_008um_00406_00543-1,
s_008um_00231_00200-1,
s_008um_00431_00172-1,
s_008um_00761_00650-1,Fibroblast
s_008um_00317_00095-1,Fibroblast
s_008um_00243_00224-1,Fibroblast
s_008um_00300_00645-1,Fibroblast
s_008um_00652_00094-1,
s_008um_00682_00663-1,Fibroblast
s_008um_00475_00184-1,
s_008um_00760_00049-1,
s_008um_00645_00125-1,
s_008um_00372_00585-1,Fibroblast
s_008um_00369_00403-1,
s_008um_00340_00018-1,
s_008um_00829_00346-1,
s_008um_00791_00495-1,
s_008um_00459_00319-1,
s_008um_00307_00043-1,
s_008um_00162_00216-1,
s_008um_00778_00361-1,
s_008um_00812_00748-1,Fibroblast
s_008um_00681_00688-1,Fibroblast
s_008um_00333_00591-1,Fibroblast
s_008um_00605_00709-1,
s_008um_00653_00228-1,
s_008um_00596_00149-1,
s_008um_00474_00642-1,
s_008um_00599_00306-1,
s_008um_00669_00578-1,Fibroblast
s_008um_00750_00707-1,Fibroblast
s_008um_00713_00190-1,Fibroblast
s_008um_00313_00618-1,Fibroblast
s_008um_00472_00164-1,
s_008um_00285_00599-1,Fibroblast
s_008um_00794_00279-1,Fibroblast
s_008um_00737_00351-1,
s_008um_00705_00497-1,
s_008um_00232_00219-1,
s_008um_00642_00269-1,
s_008um_00267_00297-1,
s_008um_00341_00563-1,Fibroblast
s_008um_00168_00591-1,
s_008um_00456_00198-1,
s_008um_00335_00358-1,
s_008um_00424_00112-1,
s_008um_00411_00114-1,
s_008um_00647_00764-1,
s_008um_00801_00125-1,MCF10A
s_008um_00367_00766-1,Fibroblast
s_008um_00388_00763-1,MCF7
s_008um_00341_00201-1,Fibroblast
s_008um_00212_00633-1,Fibroblast
s_008um_00402_00085-1,Fibroblast
s_008um_00189_00517-1,
s_008um_00275_00789-1,
s_008um_00751_00829-1,
s_008um_00782_00501-1,
s_008um_00807_00105-1,MCF10A
s_008um_00447_00262-1,
s_008um_00474_00665-1,
s_008um_00162_00183-1,
s_008um_00708_00476-1,
s_008um_00401_00797-1,
s_008um_00140_00224-1,
s_008um_00282_00686-1,MCF7
s_008um_00369_00198-1,Fibroblast
s_008um_00514_00705-1,
s_008um_00781_00601-1,Fibroblast
s_008um_00593_00313-1,
s_008um_00375_00588-1,Fibroblast
s_008um_00742_00217-1,MCF10A
s_008um_00366_00005-1,
s_008um_00398_00174-1,Fibroblast
s_008um_00441_00007-1,
s_008um_00396_00032-1,
s_008um_00126_00285-1,
s_008um_00294_00787-1,
s_008um_00792_00778-1,
s_008um_00223_00033-1,
s_008um_00247_00153-1,Fibroblast
s_008um_00307_00437-1,
s_008um_00364_00358-1,
s_008um_00812_00230-1,Fibroblast
s_008um_00305_00209-1,Fibroblast
s_008um_00231_00783-1,
s_008um_00484_00089-1,
s_008um_00795_00601-1,Fibroblast
s_008um_00673_00679-1,Fibroblast
s_008um_00386_00677-1,Fibroblast
s_008um_00342_00308-1,
s_008um_00276_00507-1,
s_008um_00629_00139-1,
s_008um_00323_00102-1,Fibroblast
s_008um_00203_00335-1,
s_008um_00637_00297-1,
s_008um_00631_00667-1,Fibroblast
s_008um_00222_00678-1,Fibroblast
s_008um_00690_00016-1,
s_008um_00375_00155-1,Fibroblast
s_008um_00123_00071-1,
s_008um_00329_00278-1,Fibroblast
s_008um_00171_00182-1,
s_008um_00194_00613-1,Fibroblast
s_008um_00468_00230-1,
s_008um_00269_00261-1,Fibroblast
s_008um_00783_00087-1,Fibroblast
s_008um_00834_00599-1,Fibroblast
s_008um_00180_00574-1,
s_008um_00252_00602-1,Fibroblast
s_008um_00286_00271-1,Fibroblast
s_008um_00556_00337-1,
s_008um_00490_00376-1,
s_008um_00348_00633-1,Fibroblast
s_008um_00228_00033-1,
s_008um_00216_00356-1,
s_008um_00599_00612-1,
s_008um_00504_00121-1,
s_008um_00110_00282-1,
s_008um_00344_00816-1,
s_008um_00364_00581-1,Fibroblast
s_008um_00191_00174-1,
s_008um_00291_00031-1,
s_008um_00397_00132-1,Fibroblast
s_008um_00322_00221-1,Fibroblast
s_008um_00263_00284-1,
s_008um_00657_00546-1,Fibroblast
s_008um_00268_00270-1,Fibroblast
s_008um_00215_00144-1,
s_008um_00408_00047-1,
s_008um_00183_00291-1,
s_008um_00804_00062-1,
s_008um_00685_00136-1,Fibroblast
s_008um_00686_00556-1,Fibroblast
s_008um_00167_00502-1,
s_008um_00704_00734-1,Fibroblast
s_008um_00378_00089-1,Fibroblast
s_008um_00328_00629-1,Fibroblast
s_008um_00651_00098-1,
s_008um_00692_00197-1,Fibroblast
s_008um_00254_00708-1,Fibroblast
s_008um_00357_00101-1,Fibroblast
s_008um_00406_00186-1,
s_008um_00359_00706-1,MCF7
s_008um_00394_00546-1,
s_008um_00380_00655-1,Fibroblast
s_008um_00620_00636-1,
s_008um_00270_00273-1,Fibroblast
s_008um_00350_00792-1,
s_008um_00733_00325-1,
s_008um_00564_00124-1,
s_008um_00359_00729-1,Fibroblast
s_008um_00776_00719-1,Fibroblast
s_008um_00429_00135-1,
s_008um_00344_00212-1,MCF7
s_008um_00684_00671-1,Fibroblast
s_008um_00241_00283-1,
s_008um_00267_00618-1,Fibroblast
s_008um_00723_00767-1,
s_008um_00277_00572-1,Fibroblast
s_008um_00436_00134-1,
s_008um_00156_00016-1,
s_008um_00726_00576-1,Fibroblast
s_008um_00626_00647-1,Fibroblast
s_008um_00806_00347-1,
s_008um_00268_00650-1,Fibroblast
s_008um_00217_00646-1,Fibroblast
s_008um_00673_00547-1,Fibroblast
s_008um_00440_00078-1,
s_008um_00683_00252-1,Fibroblast
s_008um_00179_00019-1,
s_008um_00468_00099-1,
s_008um_00440_00550-1,
s_008um_00538_00293-1,
s_008um_00317_00058-1,
s_008um_00376_00783-1,
s_008um_00421_00145-1,
s_008um_00589_00702-1,
s_008um_00116_00626-1,
s_008um_00507_00204-1,
s_008um_00178_00544-1,
s_008um_00688_00580-1,Fibroblast
s_008um_00811_00289-1,
s_008um_00231_00647-1,Fibroblast
s_008um_00309_00454-1,
s_008um_00361_00602-1,Fibroblast
s_008um_00168_00702-1,
s_008um_00265_00722-1,MCF10A
s_008um_00682_00600-1,Fibroblast
s_008um_00720_00622-1,Fibroblast
s_008um_00252_00554-1,
s_008um_00662_00106-1,
s_008um_00390_00698-1,Fibroblast
s_008um_00463_00245-1,
s_008um_00493_00065-1,
s_008um_00773_00264-1,Fibroblast
s_008um_00375_00074-1,Fibroblast
s_008um_00442_00562-1,
s_008um_00465_00331-1,
s_008um_00194_00292-1,
s_008um_00823_00200-1,MCF10A
s_008um_00715_00660-1,Fibroblast
s_008um_00131_00037-1,
s_008um_00826_00703-1,Fibroblast
s_008um_00301_00436-1,
s_008um_00699_00649-1,Fibroblast
s_008um_00199_00136-1,
s_008um_00722_00785-1,
s_008um_00176_00001-1,
s_008um_00174_00659-1,
s_008um_00559_00539-1,
s_008um_00187_00552-1,
s_008um_00487_00181-1,
s_008um_00100_00129-1,
s_008um_00725_00605-1,Fibroblast
s_008um_00508_00137-1,
s_008um_00746_00786-1,
s_008um_00757_00342-1,
s_008um_00246_00598-1,Fibroblast
s_008um_00655_00704-1,Fibroblast
s_008um_00312_00262-1,Fibroblast
s_008um_00739_00692-1,Fibroblast
s_008um_00720_00671-1,Fibroblast
s_008um_00330_00527-1,
s_008um_00727_00537-1,
s_008um_00293_00141-1,MCF7
s_008um_00422_00638-1,
s_008um_00395_00726-1,Fibroblast
s_008um_00383_00788-1,
s_008um_00361_00167-1,Fibroblast
s_008um_00436_00724-1,
s_008um_00307_00098-1,Fibroblast
s_008um_00759_00730-1,Fibroblast
s_008um_00312_00018-1,
s_008um_00248_00553-1,
s_008um_00390_00448-1,
s_008um_00682_00089-1,Fibroblast
s_008um_00652_00363-1,
s_008um_00243_00558-1,Fibroblast
s_008um_00130_00318-1,
s_008um_00657_00601-1,Fibroblast
s_008um_00478_00101-1,
s_008um_00234_00114-1,
s_008um_00441_00175-1,
s_008um_00816_00030-1,
s_008um_00196_00542-1,
s_008um_00656_00216-1,
s_008um_00722_00664-1,Fibroblast
s_008um_00396_00252-1,Fibroblast
s_008um_00169_00658-1,
s_008um_00446_00647-1,
s_008um_00356_00090-1,Fibroblast
s_008um_00380_00636-1,MCF7
s_008um_00815_00305-1,
s_008um_00466_00280-1,
s_008um_00319_00728-1,Fibroblast
s_008um_00462_00247-1,
s_008um_00150_00711-1,
s_008um_00104_00277-1,
s_008um_00810_00218-1,MCF7
s_008um_00293_00586-1,Fibroblast
s_008um_00427_00236-1,
s_008um_00122_00228-1,
s_008um_00439_00522-1,
s_008um_00722_00690-1,Fibroblast
s_008um_00623_00208-1,
s_008um_00525_00273-1,
s_008um_00325_00504-1,
s_008um_00147_00663-1,
s_008um_00604_00591-1,
s_008um_00451_00157-1,
s_008um_00260_00766-1,Fibroblast
s_008um_00603_00291-1,
s_008um_00499_00175-1,
s_008um_00398_00404-1,
s_008um_00794_00658-1,Fibroblast
s_008um_00415_00688-1,
s_008um_00629_00140-1,
s_008um_00332_00157-1,Fibroblast
s_008um_00190_00522-1,
s_008um_00803_00597-1,Fibroblast
s_008um_00484_00256-1,
s_008um_00509_00094-1,
s_008um_00755_00204-1,Fibroblast
s_008um_00302_00599-1,Fibroblast
s_008um_00349_00366-1,
s_008um_00347_00180-1,Fibroblast
s_008um_00189_00229-1,
s_008um_00421_00454-1,
s_008um_00136_00105-1,
s_008um_00812_00015-1,
s_008um_00150_00117-1,
s_008um_00319_00223-1,Fibroblast
s_008um_00296_00631-1,Fibroblast
s_008um_00293_00703-1,Fibroblast
s_008um_00500_00265-1,
s_008um_00690_00736-1,Fibroblast
s_008um_00198_00093-1,
s_008um_00656_00712-1,Fibroblast
s_008um_00713_00310-1,
s_008um_00397_00687-1,MCF7
s_008um_00276_00225-1,MCF10A
s_008um_00803_00263-1,Fibroblast
s_008um_00393_00454-1,
s_008um_00569_00176-1,
s_008um_00409_00105-1,
s_008um_00404_00044-1,
s_008um_00653_00573-1,Fibroblast
s_008um_00452_00203-1,
s_008um_00285_00581-1,Fibroblast
s_008um_00682_00552-1,Fibroblast
s_008um_00370_00166-1,Fibroblast
s_008um_00100_00052-1,
s_008um_00354_00344-1,
s_008um_00626_00612-1,Fibroblast
s_008um_00524_00036-1,
s_008um_00261_00210-1,Fibroblast
s_008um_00349_00806-1,
s_008um_00824_00233-1,Fibroblast
s_008um_00132_00134-1,
s_008um_00302_00138-1,Fibroblast
s_008um_00438_00113-1,
s_008um_00310_00645-1,Fibroblast
s_008um_00653_00360-1,
s_008um_00329_00045-1,
s_008um_00213_00034-1,
s_008um_00278_00795-1,
s_008um_00185_00349-1,
s_008um_00241_00325-1,
s_008um_00760_00105-1,Fibroblast
s_008um_00351_00365-1,
s_008um_00440_00764-1,
s_008um_00686_00362-1,
s_008um_00473_00660-1,
s_008um_00723_00766-1,
s_008um_00330_00082-1,Fibroblast
s_008um_00833_00304-1,
s_008um_00417_00271-1,
s_008um_00350_00572-1,Fibroblast
s_008um_00802_00790-1,
s_008um_00586_00172-1,
s_008um_00717_00682-1,Fibroblast
s_008um_00240_00001-1,
s_008um_00824_00273-1,Fibroblast
s_008um_00595_00570-1,
s_008um_00398_00592-1,Fibroblast
s_008um_00186_00130-1,
s_008um_00203_00582-1,Fibroblast
s_008um_00237_00191-1,
s_008um_00342_00213-1,MCF10A
s_008um_00439_00104-1,
s_008um_00379_00716-1,Fibroblast
s_008um_00214_00029-1,
s_008um_00747_00743-1,Fibroblast
s_008um_00794_00115-1,Fibroblast
s_008um_00766_00720-1,Fibroblast
s_008um_00773_00797-1,
s_008um_00186_00571-1,
s_008um_00377_00041-1,
s_008um_00484_00563-1,
s_008um_00287_00260-1,Fibroblast
s_008um_00195_00532-1,
s_008um_00742_00278-1,Fibroblast
s_008um_00427_00018-1,
s_008um_00835_00758-1,
s_008um_00342_00344-1,
s_008um_00459_00010-1,
s_008um_00829_00053-1,
s_008um_00276_00064-1,
s_008um_00256_00777-1,
s_008um_00423_00160-1,
s_008um_00823_00725-1,Fibroblast
s_008um_00808_00230-1,Fibroblast
s_008um_00264_00561-1,Fibroblast
s_008um_00313_00614-1,Fibroblast
s_008um_00465_00411-1,
s_008um_00830_00480-1,
s_008um_00779_00262-1,Fibroblast
s_008um_00667_00239-1,
s_008um_00229_00286-1,
s_008um_00255_00681-1,Fibroblast
s_008um_00424_00615-1,
s_008um_00192_00657-1,Fibroblast
s_008um_00139_00636-1,
s_008um_00732_00685-1,Fibroblast
s_008um_00628_00183-1,
s_008um_00191_00197-1,
s_008um_00663_00196-1,
s_008um_00294_00503-1,
s_008um_00127_00261-1,
s_008um_00353_00187-1,Fibroblast
s_008um_00722_00517-1,
s_008um_00477_00834-1,
s_008um_00168_00680-1,
s_008um_00823_00459-1,
s_008um_00163_00499-1,
s_008um_00617_00714-1,
s_008um_00156_00167-1,
s_008um_00205_00370-1,
s_008um_00519_00293-1,
s_008um_00752_00157-1,Fibroblast
s_008um_00654_00331-1,
s_008um_00423_00297-1,
s_008um_00226_00295-1,
s_008um_00454_00349-1,
s_008um_00639_00478-1,
s_008um_00718_00762-1,
s_008um_00714_00073-1,Fibroblast
s_008um_00249_00306-1,
s_008um_00779_00560-1,MCF7
s_008um_00495_00134-1,
s_008um_00193_00243-1,
s_008um_00136_00597-1,
s_008um_00271_00141-1,MCF7
s_008um_00098_00227-1,
s_008um_00071_00058-1,
s_008um_00726_00782-1,
s_008um_00435_00266-1,
s_008um_00254_00709-1,Fibroblast
s_008um_00154_00159-1,
s_008um_00166_00116-1,
s_008um_00395_00603-1,Fibroblast
s_008um_00720_00314-1,
s_008um_00245_00463-1,
s_008um_00629_00195-1,
s_008um_00716_00094-1,Fibroblast
s_008um_00226_00730-1,Fibroblast
s_008um_00689_00632-1,Fibroblast
s_008um_00813_00148-1,Fibroblast
s_008um_00355_00532-1,
s_008um_00575_00091-1,
s_008um_00500_00637-1,
s_008um_00726_00706-1,Fibroblast
s_008um_00381_00550-1,
s_008um_00208_00039-1,
s_008um_00444_00085-1,
s_008um_00809_00836-1,
s_008um_00195_00730-1,Fibroblast
s_008um_00632_00646-1,Fibroblast
s_008um_00488_00334-1,
s_008um_00695_00671-1,MCF7
s_008um_00112_00229-1,
s_008um_00260_00694-1,Fibroblast
s_008um_00767_00221-1,Fibroblast
s_008um_00803_00311-1,
s_008um_00610_00600-1,
s_008um_00819_00190-1,Fibroblast
s_008um_00337_00485-1,
s_008um_00715_00792-1,
s_008um_00306_00079-1,Fibroblast
s_008um_00222_00702-1,Fibroblast
s_008um_00217_00589-1,Fibroblast
s_008um_00546_00351-1,
s_008um_00741_00651-1,Fibroblast
s_008um_00495_00050-1,
s_008um_00668_00165-1,
s_008um_00708_00591-1,MCF7
s_008um_00272_00628-1,Fibroblast
s_008um_00438_00595-1,
s_008um_00394_00512-1,
s_008um_00834_00638-1,Fibroblast
s_008um_00158_00312-1,
s_008um_00307_00769-1,
s_008um_00647_00219-1,
s_008um_00753_00271-1,Fibroblast
s_008um_00187_00176-1,
s_008um_00690_00148-1,Fibroblast
s_008um_00418_00029-1,
s_008um_00820_00613-1,Fibroblast
s_008um_00452_00221-1,
s_008um_00818_00602-1,Fibroblast
s_008um_00382_00768-1,Fibroblast
s_008um_00814_00525-1,
s_008um_00722_00124-1,Fibroblast
s_008um_00786_00694-1,Fibroblast
s_008um_00706_00150-1,Fibroblast
s_008um_00779_00291-1,
s_008um_00734_00095-1,Fibroblast
s_008um_00593_00624-1,
s_008um_00475_00151-1,
s_008um_00315_00342-1,
s_008um_00439_00305-1,
s_008um_00283_00099-1,Fibroblast
s_008um_00379_00581-1,MCF7
s_008um_00408_00698-1,Fibroblast
s_008um_00190_00183-1,
s_008um_00639_00632-1,Fibroblast
s_008um_00392_00557-1,Fibroblast
s_008um_00335_00352-1,
s_008um_00261_00467-1,
s_008um_00688_00243-1,Fibroblast
s_008um_00443_00514-1,
s_008um_00413_00271-1,
s_008um_00461_00136-1,
s_008um_00407_00673-1,MCF7
s_008um_00628_00259-1,
s_008um_00410_00235-1,
s_008um_00637_00723-1,Fibroblast
s_008um_00387_00680-1,Fibroblast
s_008um_00264_00261-1,Fibroblast
s_008um_00308_00464-1,
s_008um_00433_00552-1,
s_008um_00827_00652-1,Fibroblast
s_008um_00281_00727-1,Fibroblast
s_008um_00439_00590-1,
s_008um_00356_00588-1,Fibroblast
s_008um_00182_00023-1,
s_008um_00490_00018-1,
s_008um_00252_00752-1,Fibroblast
s_008um_00233_00679-1,Fibroblast
s_008um_00458_00211-1,
s_008um_00254_00172-1,Fibroblast
s_008um_00705_00762-1,
s_008um_00365_00235-1,Fibroblast
s_008um_00392_00778-1,
s_008um_00731_00719-1,Fibroblast
s_008um_00341_00056-1,
s_008um_00382_00080-1,Fibroblast
s_008um_00389_00560-1,Fibroblast
s_008um_00449_00627-1,
s_008um_00812_00138-1,Fibroblast
s_008um_00521_00312-1,
s_008um_00762_00704-1,Fibroblast
s_008um_00623_00261-1,
s_008um_00357_00575-1,MCF7
s_008um_00790_00704-1,Fibroblast
s_008um_00189_00168-1,
s_008um_00730_00015-1,
s_008um_00722_00803-1,
s_008um_00653_00313-1,
s_008um_00335_00243-1,Fibroblast
s_008um_00761_00059-1,
s_008um_00278_00059-1,
s_008um_00425_00050-1,
s_008um_00325_00322-1,
s_008um_00832_00028-1,
s_008um_00455_00230-1,
s_008um_00671_00330-1,
s_008um_00288_00138-1,Fibroblast
s_008um_00653_00711-1,Fibroblast
s_008um_00429_00139-1,
s_008um_00384_00674-1,Fibroblast
s_008um_00390_00239-1,Fibroblast
s_008um_00646_00083-1,
s_008um_00199_00788-1,
s_008um_00349_00782-1,
s_008um_00796_00107-1,Fibroblast
s_008um_00456_00166-1,
s_008um_00668_00680-1,Fibroblast
s_008um_00775_00535-1,
s_008um_00319_00078-1,Fibroblast
s_008um_00204_00520-1,
s_008um_00248_00568-1,Fibroblast
s_008um_00257_00544-1,
s_008um_00677_00565-1,Fibroblast
s_008um_00465_00101-1,
s_008um_00215_00703-1,Fibroblast
s_008um_00829_00286-1,
s_008um_00403_00763-1,MCF7
s_008um_00442_00521-1,
s_008um_00392_00133-1,Fibroblast
s_008um_00738_00688-1,Fibroblast
s_008um_00324_00630-1,Fibroblast
s_008um_00238_00745-1,Fibroblast
s_008um_00217_00078-1,
s_008um_00148_00561-1,
s_008um_00498_00158-1,
s_008um_00632_00199-1,
s_008um_00144_00640-1,
s_008um_00495_00135-1,
s_008um_00623_00247-1,
s_008um_00170_00036-1,
s_008um_00738_00650-1,Fibroblast
s_008um_00279_00189-1,Fibroblast
s_008um_00231_00095-1,
s_008um_00696_00325-1,
s_008um_00330_00490-1,
s_008um_00589_00629-1,
s_008um_00441_00695-1,
s_008um_00694_00239-1,Fibroblast
s_008um_00357_00788-1,
s_008um_00431_00015-1,
s_008um_00234_00503-1,
s_008um_00113_00136-1,
s_008um_00467_00240-1,
s_008um_00829_00613-1,Fibroblast
s_008um_00287_00234-1,Fibroblast
s_008um_00735_00654-1,Fibroblast
s_008um_00458_00102-1,
s_008um_00371_00283-1,
s_008um_00425_00611-1,
s_008um_00319_00494-1,
s_008um_00638_00751-1,Fibroblast
s_008um_00821_00698-1,Fibroblast
s_008um_00232_00717-1,MCF7
s_008um_00448_00173-1,
s_008um_00091_00275-1,
s_008um_00484_00150-1,
s_008um_00361_00643-1,Fibroblast
s_008um_00426_00653-1,
s_008um_00118_00181-1,
s_008um_00740_00106-1,Fibroblast
s_008um_00748_00130-1,Fibroblast
s_008um_00495_00417-1,
s_008um_00449_00487-1,
s_008um_00606_00232-1,
s_008um_00297_00549-1,
s_008um_00282_00614-1,Fibroblast
s_008um_00153_00607-1,
s_008um_00438_00145-1,
s_008um_00734_00711-1,Fibroblast
s_008um_00239_00136-1,
s_008um_00449_00614-1,
s_008um_00202_00104-1,
s_008um_00433_00274-1,
s_008um_00424_00208-1,
s_008um_00645_00728-1,Fibroblast
s_008um_00789_00519-1,
s_008um_00312_00762-1,Fibroblast
s_008um_00747_00653-1,Fibroblast
s_008um_00791_00348-1,
s_008um_00300_00789-1,
s_008um_00810_00671-1,Fibroblast
s_008um_00623_00630-1,
s_008um_00303_00646-1,Fibroblast
s_008um_00098_00236-1,
s_008um_00144_00093-1,
s_008um_00132_00091-1,
s_008um_00328_00559-1,Fibroblast
s_008um_00789_00615-1,Fibroblast
s_008um_00319_00293-1,
s_008um_00779_00586-1,Fibroblast
s_008um_00364_00244-1,Fibroblast
s_008um_00610_00466-1,
s_008um_00518_00284-1,
s_008um_00647_00114-1,
s_008um_00646_00761-1,
s_008um_00310_00041-1,
s_008um_00779_00159-1,Fibroblast
s_008um_00811_00555-1,Fibroblast
s_008um_00249_00016-1,
s_008um_00593_00708-1,
s_008um_00827_00081-1,Fibroblast
s_008um_00730_00001-1,
s_008um_00728_00000-1,
s_008um_00749_00623-1,Fibroblast
s_008um_00790_00051-1,
s_008um_00284_00159-1,Fibroblast
s_008um_00440_00275-1,
s_008um_00833_00620-1,MCF7
s_008um_00348_00037-1,
s_008um_00391_00756-1,Fibroblast
s_008um_00373_00116-1,Fibroblast
s_008um_00465_00166-1,
s_008um_00190_00583-1,Fibroblast
s_008um_00441_00191-1,
s_008um_00741_00549-1,Fibroblast
s_008um_00691_00172-1,Fibroblast
s_008um_00693_00153-1,Fibroblast
s_008um_00357_00727-1,Fibroblast
s_008um_00740_00690-1,MCF7
s_008um_00167_00118-1,
s_008um_00508_00010-1,
s_008um_00153_00029-1,
s_008um_00329_00726-1,Fibroblast
s_008um_00743_00664-1,Fibroblast
s_008um_00568_00183-1,
s_008um_00618_00110-1,
s_008um_00721_00112-1,Fibroblast
s_008um_00445_00301-1,
s_008um_00364_00547-1,
s_008um_00795_00040-1,
s_008um_00509_00210-1,
s_008um_00829_00083-1,Fibroblast
s_008um_00728_00314-1,
s_008um_00429_00205-1,
s_008um_00558_00353-1,
s_008um_00812_00216-1,MCF7
s_008um_00677_00321-1,
s_008um_00737_00631-1,Fibroblast
s_008um_00821_00714-1,Fibroblast
s_008um_00285_00061-1,
s_008um_00752_00145-1,MCF7
s_008um_00799_00321-1,
s_008um_00645_00290-1,
s_008um_00475_00724-1,
s_008um_00424_00576-1,
s_008um_00418_00039-1,
s_008um_00649_00130-1,
s_008um_00184_00073-1,
s_008um_00362_00151-1,Fibroblast
s_008um_00525_00747-1,
s_008um_00151_00184-1,
s_008um_00301_00528-1,
s_008um_00314_00254-1,Fibroblast
s_008um_00283_00582-1,Fibroblast
s_008um_00478_00111-1,
s_008um_00732_00053-1,
s_008um_00589_00577-1,
s_008um_00230_00183-1,
s_008um_00826_00354-1,
s_008um_00100_00142-1,
s_008um_00627_00628-1,Fibroblast
s_008um_00473_00246-1,
s_008um_00091_00301-1,
s_008um_00323_00552-1,
s_008um_00777_00043-1,
s_008um_00163_00283-1,
s_008um_00241_00159-1,
s_008um_00625_00079-1,
s_008um_00627_00704-1,Fibroblast
s_008um_00176_00096-1,
s_008um_00360_00479-1,
s_008um_00388_00301-1,
s_008um_00755_00136-1,MCF7
s_008um_00605_00589-1,
s_008um_00431_00671-1,
s_008um_00440_00054-1,
s_008um_00349_00626-1,Fibroblast
s_008um_00390_00236-1,Fibroblast
s_008um_00317_00112-1,Fibroblast
s_008um_00193_00187-1,
s_008um_00664_00756-1,
s_008um_00386_00201-1,Fibroblast
s_008um_00598_00462-1,
s_008um_00757_00809-1,
s_008um_00631_00514-1,
s_008um_00661_00736-1,Fibroblast
s_008um_00391_00786-1,
s_008um_00649_00775-1,
s_008um_00660_00778-1,
s_008um_00320_00602-1,Fibroblast
s_008um_00348_00167-1,Fibroblast
s_008um_00822_00033-1,
s_008um_00781_00617-1,Fibroblast
s_008um_00269_00081-1,Fibroblast
s_008um_00253_00140-1,Fibroblast
s_008um_00515_00041-1,
s_008um_00423_00599-1,
s_008um_00680_00513-1,
s_008um_00607_00147-1,
s_008um_00700_00596-1,Fibroblast
