Barcode,CellType
s_008um_00813_00303-1,
s_008um_00714_00545-1,Fibroblast
s_008um_00413_00031-1,
s_008um_00293_00155-1,Fibroblast
s_008um_00703_00562-1,Fibroblast
s_008um_00160_00491-1,
s_008um_00225_00763-1,Fibroblast
s_008um_00755_00571-1,Fibroblast
s_008um_00709_00758-1,
s_008um_00761_00560-1,Fibroblast
s_008um_00819_00524-1,
s_008um_00239_00585-1,Fibroblast
s_008um_00796_00769-1,
s_008um_00259_00265-1,Fibroblast
s_008um_00632_00796-1,
s_008um_00325_00720-1,Fibroblast
s_008um_00380_00291-1,
s_008um_00315_00617-1,Fibroblast
s_008um_00828_00344-1,
s_008um_00347_00270-1,Fibroblast
s_008um_00763_00324-1,
s_008um_00234_00165-1,
s_008um_00373_00074-1,Fibroblast
s_008um_00190_00019-1,
s_008um_00713_00543-1,Fibroblast
s_008um_00600_00405-1,
s_008um_00441_00271-1,
s_008um_00341_00711-1,Fibroblast
s_008um_00485_00063-1,
s_008um_00689_00040-1,
s_008um_00240_00229-1,
s_008um_00789_00620-1,Fibroblast
s_008um_00351_00695-1,Fibroblast
s_008um_00587_00565-1,
s_008um_00482_00270-1,
s_008um_00425_00509-1,
s_008um_00240_00222-1,
s_008um_00406_00166-1,
s_008um_00166_00262-1,
s_008um_00290_00029-1,
s_008um_00800_00303-1,
s_008um_00165_00044-1,
s_008um_00216_00339-1,
s_008um_00399_00170-1,Fibroblast
s_008um_00468_00192-1,
s_008um_00692_00312-1,
s_008um_00452_00227-1,
s_008um_00158_00099-1,
s_008um_00099_00250-1,
s_008um_00370_00055-1,
s_008um_00738_00023-1,
s_008um_00716_00127-1,Fibroblast
s_008um_00229_00310-1,
s_008um_00113_00259-1,
s_008um_00622_00168-1,
s_008um_00324_00137-1,Fibroblast
s_008um_00309_00340-1,
s_008um_00158_00702-1,
s_008um_00325_00756-1,Fibroblast
s_008um_00823_00342-1,
s_008um_00580_00686-1,
s_008um_00619_00551-1,
s_008um_00644_00691-1,Fibroblast
s_008um_00373_00268-1,Fibroblast
s_008um_00364_00080-1,Fibroblast
s_008um_00765_00348-1,
s_008um_00706_00148-1,Fibroblast
s_008um_00347_00004-1,
s_008um_00302_00169-1,Fibroblast
s_008um_00315_00519-1,
s_008um_00140_00621-1,
s_008um_00806_00064-1,
s_008um_00220_00808-1,
s_008um_00247_00554-1,
s_008um_00239_00296-1,
s_008um_00268_00356-1,
s_008um_00491_00199-1,
s_008um_00370_00570-1,Fibroblast
s_008um_00137_00622-1,
s_008um_00273_00009-1,
s_008um_00135_00193-1,
s_008um_00657_00134-1,
s_008um_00217_00175-1,
s_008um_00806_00783-1,
s_008um_00702_00646-1,Fibroblast
s_008um_00821_00144-1,Fibroblast
s_008um_00294_00496-1,
s_008um_00611_00376-1,
s_008um_00141_00201-1,
s_008um_00825_00649-1,Fibroblast
s_008um_00253_00218-1,Fibroblast
s_008um_00223_00792-1,
s_008um_00451_00155-1,
s_008um_00730_00474-1,
s_008um_00126_00262-1,
s_008um_00418_00675-1,
s_008um_00677_00267-1,
s_008um_00714_00218-1,Fibroblast
s_008um_00810_00249-1,Fibroblast
s_008um_00772_00140-1,Fibroblast
s_008um_00222_00506-1,
s_008um_00396_00571-1,Fibroblast
s_008um_00719_00075-1,Fibroblast
s_008um_00645_00214-1,
s_008um_00103_00585-1,
s_008um_00681_00169-1,
s_008um_00220_00614-1,Fibroblast
s_008um_00786_00675-1,Fibroblast
s_008um_00162_00668-1,
s_008um_00687_00074-1,Fibroblast
s_008um_00685_00580-1,Fibroblast
s_008um_00834_00691-1,Fibroblast
s_008um_00490_00074-1,
s_008um_00575_00798-1,
s_008um_00275_00470-1,
s_008um_00132_00603-1,
s_008um_00153_00204-1,
s_008um_00744_00398-1,
s_008um_00133_00115-1,
s_008um_00612_00192-1,
s_008um_00136_00130-1,
s_008um_00274_00504-1,
s_008um_00819_00683-1,Fibroblast
s_008um_00248_00153-1,Fibroblast
s_008um_00275_00343-1,
s_008um_00150_00739-1,
s_008um_00411_00334-1,
s_008um_00662_00250-1,
s_008um_00681_00270-1,Fibroblast
s_008um_00361_00082-1,Fibroblast
s_008um_00672_00484-1,
s_008um_00696_00636-1,Fibroblast
s_008um_00176_00171-1,
s_008um_00211_00143-1,
s_008um_00162_00058-1,
s_008um_00631_00113-1,
s_008um_00676_00623-1,Fibroblast
s_008um_00219_00321-1,
s_008um_00657_00140-1,
s_008um_00699_00581-1,Fibroblast
s_008um_00142_00276-1,
s_008um_00396_00590-1,Fibroblast
s_008um_00223_00205-1,
s_008um_00171_00057-1,
s_008um_00608_00546-1,
s_008um_00739_00701-1,Fibroblast
s_008um_00603_00699-1,
s_008um_00152_00303-1,
s_008um_00676_00618-1,Fibroblast
s_008um_00287_00715-1,Fibroblast
s_008um_00812_00651-1,Fibroblast
s_008um_00773_00172-1,Fibroblast
s_008um_00183_00511-1,
s_008um_00464_00525-1,
s_008um_00696_00011-1,
s_008um_00729_00819-1,
s_008um_00746_00165-1,Fibroblast
s_008um_00630_00573-1,Fibroblast
s_008um_00423_00180-1,
s_008um_00259_00219-1,Fibroblast
s_008um_00193_00802-1,
s_008um_00774_00760-1,
s_008um_00810_00636-1,Fibroblast
s_008um_00716_00610-1,Fibroblast
s_008um_00205_00595-1,Fibroblast
s_008um_00423_00202-1,
s_008um_00734_00198-1,Fibroblast
s_008um_00223_00690-1,MCF7
s_008um_00453_00589-1,
s_008um_00339_00530-1,
s_008um_00406_00033-1,
s_008um_00247_00169-1,Fibroblast
s_008um_00110_00228-1,
s_008um_00139_00531-1,
s_008um_00331_00681-1,Fibroblast
s_008um_00476_00030-1,
s_008um_00274_00256-1,MCF10A
s_008um_00200_00341-1,
s_008um_00111_00103-1,
s_008um_00258_00183-1,Fibroblast
s_008um_00765_00077-1,Fibroblast
s_008um_00760_00646-1,Fibroblast
s_008um_00726_00293-1,
s_008um_00722_00462-1,
s_008um_00272_00644-1,Fibroblast
s_008um_00810_00156-1,Fibroblast
s_008um_00350_00146-1,Fibroblast
s_008um_00658_00723-1,Fibroblast
s_008um_00342_00316-1,
s_008um_00806_00706-1,Fibroblast
s_008um_00416_00722-1,
s_008um_00152_00669-1,
s_008um_00795_00103-1,Fibroblast
s_008um_00761_00369-1,
s_008um_00237_00792-1,
s_008um_00332_00320-1,
s_008um_00772_00015-1,
s_008um_00818_00704-1,Fibroblast
s_008um_00192_00242-1,
s_008um_00305_00388-1,
s_008um_00794_00508-1,
s_008um_00405_00771-1,MCF7
s_008um_00762_00515-1,
s_008um_00163_00301-1,
s_008um_00222_00339-1,
s_008um_00484_00365-1,
s_008um_00269_00661-1,MCF10A
s_008um_00214_00006-1,
s_008um_00142_00045-1,
s_008um_00673_00738-1,Fibroblast
s_008um_00338_00517-1,
s_008um_00753_00076-1,Fibroblast
s_008um_00729_00139-1,MCF10A
s_008um_00399_00296-1,
s_008um_00261_00761-1,Fibroblast
s_008um_00309_00029-1,
s_008um_00306_00160-1,Fibroblast
s_008um_00240_00502-1,
s_008um_00740_00622-1,MCF7
s_008um_00306_00188-1,Fibroblast
s_008um_00180_00251-1,
s_008um_00383_00146-1,Fibroblast
s_008um_00190_00670-1,Fibroblast
s_008um_00334_00282-1,
s_008um_00826_00101-1,Fibroblast
s_008um_00743_00122-1,Fibroblast
s_008um_00817_00796-1,
s_008um_00159_00291-1,
s_008um_00194_00198-1,
s_008um_00285_00625-1,Fibroblast
s_008um_00320_00718-1,Fibroblast
s_008um_00279_00626-1,Fibroblast
s_008um_00348_00267-1,Fibroblast
s_008um_00477_00508-1,
s_008um_00386_00764-1,Fibroblast
s_008um_00708_00515-1,
s_008um_00675_00619-1,Fibroblast
s_008um_00823_00159-1,Fibroblast
s_008um_00710_00305-1,
s_008um_00446_00722-1,
s_008um_00799_00111-1,MCF10A
s_008um_00824_00581-1,MCF7
s_008um_00340_00253-1,Fibroblast
s_008um_00182_00254-1,
s_008um_00363_00182-1,Fibroblast
s_008um_00821_00178-1,Fibroblast
s_008um_00302_00124-1,Fibroblast
s_008um_00285_00472-1,
s_008um_00330_00344-1,
s_008um_00208_00587-1,Fibroblast
s_008um_00185_00063-1,
s_008um_00695_00481-1,
s_008um_00357_00639-1,Fibroblast
s_008um_00398_00314-1,
s_008um_00692_00283-1,
s_008um_00308_00430-1,
s_008um_00363_00009-1,
s_008um_00264_00575-1,Fibroblast
s_008um_00337_00356-1,
s_008um_00769_00175-1,Fibroblast
s_008um_00342_00163-1,Fibroblast
s_008um_00345_00342-1,
s_008um_00352_00329-1,
s_008um_00766_00213-1,Fibroblast
s_008um_00799_00692-1,Fibroblast
s_008um_00372_00303-1,
s_008um_00242_00521-1,
s_008um_00646_00175-1,
s_008um_00163_00627-1,
s_008um_00315_00267-1,Fibroblast
s_008um_00193_00552-1,
s_008um_00831_00546-1,Fibroblast
s_008um_00151_00160-1,
s_008um_00266_00223-1,Fibroblast
s_008um_00633_00264-1,
s_008um_00638_00675-1,Fibroblast
s_008um_00368_00020-1,
s_008um_00234_00600-1,MCF7
s_008um_00354_00665-1,Fibroblast
s_008um_00122_00239-1,
s_008um_00239_00592-1,Fibroblast
s_008um_00415_00135-1,
s_008um_00635_00242-1,
s_008um_00775_00334-1,
s_008um_00311_00302-1,
s_008um_00170_00659-1,
s_008um_00300_00280-1,Fibroblast
s_008um_00125_00304-1,
s_008um_00291_00528-1,
s_008um_00658_00687-1,Fibroblast
s_008um_00304_00134-1,Fibroblast
s_008um_00802_00010-1,
s_008um_00441_00223-1,
s_008um_00725_00179-1,Fibroblast
s_008um_00582_00119-1,
s_008um_00279_00770-1,
s_008um_00765_00544-1,Fibroblast
s_008um_00775_00292-1,
s_008um_00266_00315-1,
s_008um_00787_00139-1,Fibroblast
s_008um_00364_00670-1,Fibroblast
s_008um_00334_00525-1,
s_008um_00407_00487-1,
s_008um_00762_00511-1,
s_008um_00801_00195-1,Fibroblast
s_008um_00761_00723-1,Fibroblast
s_008um_00426_00739-1,
s_008um_00673_00709-1,Fibroblast
s_008um_00754_00306-1,
s_008um_00340_00552-1,
s_008um_00522_00280-1,
s_008um_00470_00678-1,
s_008um_00678_00332-1,
s_008um_00421_00214-1,
s_008um_00836_00622-1,Fibroblast
s_008um_00258_00742-1,Fibroblast
s_008um_00784_00655-1,Fibroblast
s_008um_00264_00737-1,Fibroblast
s_008um_00252_00721-1,Fibroblast
s_008um_00373_00703-1,Fibroblast
s_008um_00443_00258-1,
s_008um_00640_00701-1,Fibroblast
s_008um_00264_00785-1,
s_008um_00420_00508-1,
s_008um_00310_00782-1,
s_008um_00657_00498-1,
s_008um_00719_00277-1,Fibroblast
s_008um_00688_00169-1,Fibroblast
s_008um_00602_00566-1,
s_008um_00376_00735-1,Fibroblast
s_008um_00698_00033-1,
s_008um_00420_00143-1,
s_008um_00809_00797-1,
s_008um_00144_00318-1,
s_008um_00757_00567-1,Fibroblast
s_008um_00263_00238-1,Fibroblast
s_008um_00519_00119-1,
s_008um_00187_00757-1,Fibroblast
s_008um_00092_00314-1,
s_008um_00120_00093-1,
