Class; Value; Class start; Class end;
1;164;0.000140176577;0.101643107864;
2;162;0.101643107864;0.203146039151;
3;144;0.203146039151;0.304648970439;
4;142;0.304648970439;0.406151901726;
5;180;0.406151901726;0.507654833013;
6;186;0.507654833013;0.609157764301;
7;134;0.609157764301;0.710660695588;
8;132;0.710660695588;0.812163626876;
9;174;0.812163626876;0.913666558163;
10;176;0.913666558163;1.015169489450;
11;128;1.015169489450;1.116672420738;
12;136;1.116672420738;1.218175352025;
13;142;1.218175352025;1.319678283312;
14;154;1.319678283312;1.421181214600;
15;146;1.421181214600;1.522684145887;
16;118;1.522684145887;1.624187077174;
17;132;1.624187077174;1.725690008462;
18;176;1.725690008462;1.827192939749;
19;146;1.827192939749;1.928695871037;
20;116;1.928695871037;2.030198802324;
21;134;2.030198802324;2.131701733611;
22;148;2.131701733611;2.233204664899;
23;132;2.233204664899;2.334707596186;
24;146;2.334707596186;2.436210527473;
25;148;2.436210527473;2.537713458761;
26;130;2.537713458761;2.639216390048;
27;114;2.639216390048;2.740719321335;
28;120;2.740719321335;2.842222252623;
29;122;2.842222252623;2.943725183910;
30;110;2.943725183910;3.045228115197;
31;84;3.045228115197;3.146731046485;
32;116;3.146731046485;3.248233977772;
33;108;3.248233977772;3.349736909060;
34;98;3.349736909060;3.451239840347;
35;114;3.451239840347;3.552742771634;
36;60;3.552742771634;3.654245702922;
37;116;3.654245702922;3.755748634209;
38;120;3.755748634209;3.857251565496;
39;112;3.857251565496;3.958754496784;
40;72;3.958754496784;4.060257428071;
41;66;4.060257428071;4.161760359358;
42;104;4.161760359358;4.263263290646;
43;88;4.263263290646;4.364766221933;
44;78;4.364766221933;4.466269153220;
45;86;4.466269153220;4.567772084508;
46;72;4.567772084508;4.669275015795;
47;84;4.669275015795;4.770777947083;
48;60;4.770777947083;4.872280878370;
49;72;4.872280878370;4.973783809657;
50;62;4.973783809657;5.075286740945;
51;56;5.075286740945;5.176789672232;
52;66;5.176789672232;5.278292603519;
53;44;5.278292603519;5.379795534807;
54;42;5.379795534807;5.481298466094;
55;62;5.481298466094;5.582801397381;
56;50;5.582801397381;5.684304328669;
57;60;5.684304328669;5.785807259956;
58;34;5.785807259956;5.887310191244;
59;22;5.887310191244;5.988813122531;
60;38;5.988813122531;6.090316053818;
61;28;6.090316053818;6.191818985106;
62;36;6.191818985106;6.293321916393;
63;24;6.293321916393;6.394824847680;
64;40;6.394824847680;6.496327778968;
65;44;6.496327778968;6.597830710255;
66;32;6.597830710255;6.699333641542;
67;32;6.699333641542;6.800836572830;
68;10;6.800836572830;6.902339504117;
69;16;6.902339504117;7.003842435404;
70;10;7.003842435404;7.105345366692;
71;10;7.105345366692;7.206848297979;
72;10;7.206848297979;7.308351229267;
73;10;7.308351229267;7.409854160554;
74;2;7.409854160554;7.511357091841;
75;6;7.511357091841;7.612860023129;
76;2;7.612860023129;7.714362954416;
77;2;7.714362954416;7.815865885703;
78;2;7.815865885703;7.917368816991;
79;2;7.917368816991;8.018871748278;
80;4;8.018871748278;8.120374679565;
