Class; Value; Class start; Class end;
1;174;0.002408460248;0.104024372523;
2;188;0.104024372523;0.205640284799;
3;150;0.205640284799;0.307256197074;
4;240;0.307256197074;0.408872109349;
5;164;0.408872109349;0.510488021624;
6;180;0.510488021624;0.612103933899;
7;190;0.612103933899;0.713719846174;
8;172;0.713719846174;0.815335758450;
9;154;0.815335758450;0.916951670725;
10;168;0.916951670725;1.018567583000;
11;200;1.018567583000;1.120183495275;
12;150;1.120183495275;1.221799407550;
13;152;1.221799407550;1.323415319825;
14;156;1.323415319825;1.425031232100;
15;170;1.425031232100;1.526647144376;
16;156;1.526647144376;1.628263056651;
17;186;1.628263056651;1.729878968926;
18;134;1.729878968926;1.831494881201;
19;182;1.831494881201;1.933110793476;
20;138;1.933110793476;2.034726705751;
21;126;2.034726705751;2.136342618027;
22;134;2.136342618027;2.237958530302;
23;142;2.237958530302;2.339574442577;
24;168;2.339574442577;2.441190354852;
25;144;2.441190354852;2.542806267127;
26;130;2.542806267127;2.644422179402;
27;138;2.644422179402;2.746038091677;
28;96;2.746038091677;2.847654003953;
29;108;2.847654003953;2.949269916228;
30;116;2.949269916228;3.050885828503;
31;124;3.050885828503;3.152501740778;
32;96;3.152501740778;3.254117653053;
33;114;3.254117653053;3.355733565328;
34;120;3.355733565328;3.457349477604;
35;94;3.457349477604;3.558965389879;
36;94;3.558965389879;3.660581302154;
37;110;3.660581302154;3.762197214429;
38;124;3.762197214429;3.863813126704;
39;96;3.863813126704;3.965429038979;
40;90;3.965429038979;4.067044951255;
41;72;4.067044951255;4.168660863530;
42;66;4.168660863530;4.270276775805;
43;58;4.270276775805;4.371892688080;
44;56;4.371892688080;4.473508600355;
45;50;4.473508600355;4.575124512630;
46;62;4.575124512630;4.676740424905;
47;60;4.676740424905;4.778356337181;
48;40;4.778356337181;4.879972249456;
49;60;4.879972249456;4.981588161731;
50;46;4.981588161731;5.083204074006;
51;54;5.083204074006;5.184819986281;
52;50;5.184819986281;5.286435898556;
53;24;5.286435898556;5.388051810832;
54;54;5.388051810832;5.489667723107;
55;34;5.489667723107;5.591283635382;
56;26;5.591283635382;5.692899547657;
57;24;5.692899547657;5.794515459932;
58;20;5.794515459932;5.896131372207;
59;26;5.896131372207;5.997747284482;
60;22;5.997747284482;6.099363196758;
61;22;6.099363196758;6.200979109033;
62;12;6.200979109033;6.302595021308;
63;20;6.302595021308;6.404210933583;
64;14;6.404210933583;6.505826845858;
65;18;6.505826845858;6.607442758133;
66;8;6.607442758133;6.709058670409;
67;10;6.709058670409;6.810674582684;
68;6;6.810674582684;6.912290494959;
69;10;6.912290494959;7.013906407234;
70;6;7.013906407234;7.115522319509;
71;8;7.115522319509;7.217138231784;
72;6;7.217138231784;7.318754144059;
73;6;7.318754144059;7.420370056335;
74;6;7.420370056335;7.521985968610;
75;6;7.521985968610;7.623601880885;
76;6;7.623601880885;7.725217793160;
77;6;7.725217793160;7.826833705435;
78;6;7.826833705435;7.928449617710;
79;8;7.928449617710;8.030065529986;
80;4;8.030065529986;8.131681442261;
