Class; Value; Class start; Class end;
213;2;20.663660615683;20.761130712926;
214;4;20.761130712926;20.858600810170;
215;2;20.858600810170;20.956070907414;
216;10;20.956070907414;21.053541004658;
217;2;21.053541004658;21.151011101902;
218;8;21.151011101902;21.248481199145;
219;6;21.248481199145;21.345951296389;
220;2;21.345951296389;21.443421393633;
221;6;21.443421393633;21.540891490877;
222;0;21.540891490877;21.638361588120;
223;4;21.638361588120;21.735831685364;
224;4;21.735831685364;21.833301782608;
225;4;21.833301782608;21.930771879852;
226;4;21.930771879852;22.028241977096;
227;2;22.028241977096;22.125712074339;
228;6;22.125712074339;22.223182171583;
229;8;22.223182171583;22.320652268827;
230;2;22.320652268827;22.418122366071;
231;6;22.418122366071;22.515592463315;
232;2;22.515592463315;22.613062560558;
233;2;22.613062560558;22.710532657802;
234;0;22.710532657802;22.808002755046;
235;8;22.808002755046;22.905472852290;
236;2;22.905472852290;23.002942949533;
237;6;23.002942949533;23.100413046777;
238;6;23.100413046777;23.197883144021;
239;2;23.197883144021;23.295353241265;
240;4;23.295353241265;23.392823338509;
241;2;23.392823338509;23.490293435752;
242;4;23.490293435752;23.587763532996;
243;2;23.587763532996;23.685233630240;
244;4;23.685233630240;23.782703727484;
245;6;23.782703727484;23.880173824728;
246;4;23.880173824728;23.977643921971;
247;2;23.977643921971;24.075114019215;
248;4;24.075114019215;24.172584116459;
249;2;24.172584116459;24.270054213703;
250;4;24.270054213703;24.367524310946;
251;4;24.367524310946;24.464994408190;
252;4;24.464994408190;24.562464505434;
253;2;24.562464505434;24.659934602678;
254;6;24.659934602678;24.757404699922;
255;2;24.757404699922;24.854874797165;
256;4;24.854874797165;24.952344894409;
