Barcode,PrintPattern
s_008um_00034_00267-1,MCF10A_CTRL
s_008um_00498_00693-1,
s_008um_00587_00565-1,Random_3
s_008um_00088_00192-1,MCF10A_CTRL
s_008um_00482_00270-1,
s_008um_00166_00262-1,
s_008um_00406_00166-1,
s_008um_00189_00430-1,
s_008um_00623_00357-1,
s_008um_00290_00029-1,
s_008um_00800_00303-1,
s_008um_00592_00759-1,
s_008um_00045_00769-1,Fibroblast_CTRL
s_008um_00399_00170-1,
s_008um_00527_00732-1,Random_3
s_008um_00692_00312-1,
s_008um_00452_00227-1,
s_008um_00140_00741-1,Fibroblast_CTRL
s_008um_00468_00192-1,
s_008um_00099_00250-1,MCF10A_CTRL
s_008um_00738_00023-1,
s_008um_00557_00649-1,Random_3
s_008um_00716_00127-1,
s_008um_00229_00310-1,MCF7_CTRL
s_008um_00541_00555-1,Random_3
s_008um_00113_00259-1,MCF10A_CTRL
s_008um_00317_00385-1,
s_008um_00573_00309-1,
s_008um_00505_00679-1,
s_008um_00622_00168-1,Pattern_3
s_008um_00309_00340-1,
s_008um_00158_00702-1,Fibroblast_CTRL
s_008um_00122_00743-1,Fibroblast_CTRL
s_008um_00619_00551-1,Random_3
s_008um_00580_00686-1,Random_3
s_008um_00603_00238-1,Pattern_3
s_008um_00734_00374-1,
s_008um_00644_00691-1,Random_3
s_008um_00135_00193-1,MCF10A_CTRL
s_008um_00765_00348-1,
s_008um_00706_00148-1,
s_008um_00315_00519-1,
s_008um_00140_00621-1,
s_008um_00806_00064-1,
s_008um_00247_00554-1,MCF7_CTRL
s_008um_00538_00368-1,
s_008um_00481_00665-1,
s_008um_00069_00242-1,MCF10A_CTRL
s_008um_00039_00286-1,MCF10A_CTRL
s_008um_00491_00199-1,
s_008um_00268_00356-1,MCF7_CTRL
s_008um_00494_00520-1,
s_008um_00137_00622-1,
s_008um_00657_00134-1,Pattern_3
s_008um_00223_00792-1,Fibroblast_CTRL
s_008um_00702_00646-1,
